ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_mjj25
2025,05,4791801,1,0016,1,1,20240247918011001614,1,3,3,1,2,,2,17,3,3,22,11,2007,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,1461.8102686108195
2025,05,4791801,1,0016,1,1,20240247918011001615,1,4,3,1,2,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4791801,1,0015,1,1,20240247918011001511,1,1,1,1,2,,1,41,1,1,23,6,1983,1,,,,,,,,,,,,,,,,7322,3100,3,5,1,,1,6,0,0,14,0,0,14,14,42,,60,2,60,1,1,1,2,2,400,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,1,1,1,1732,,,,,,,,,1732,1732,1732,1,1668.7321399127795
2025,05,4791801,1,0015,1,1,20240247918011001512,1,2,2,1,2,,2,38,2,2,21,1,1987,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,5,2,,2,2,2,2,2,2,10,6,4,,,,,,,,,,,,,1,1675.2588085727937
2025,05,4791801,1,0015,1,1,20240247918011001513,1,3,3,1,2,,1,21,3,3,5,12,2003,2,1,,,,,,,,,,,,,,,4222,8220,3,5,1,,2,39,0,0,0,0,0,0,0,0,,48,2,48,1,1,1,2,3,600,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,8,1,,2,2,2,2,2,2,10,1,1,1200,,,,,,,,50,1200,1200,1250,1,1376.4344702082337
2025,05,4791801,1,0015,1,1,20240247918011001514,1,4,3,1,2,,2,16,4,4,18,2,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,4,,2,2,2,2,2,2,10,1,4,,,,,,,,,,,,,1,1461.8102686108195
2025,05,4791801,1,0015,1,1,20240247918011001515,1,5,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4791801,1,0015,1,1,20240247918011001516,1,6,3,1,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4791801,1,0012,1,1,20240247918011001211,1,1,1,1,2,,1,53,1,1,6,4,1972,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,0,11,11,11,11,11,11,66,,66,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1200,,,,,,,1200,1200,1200,1,1522.5490568093974
2025,05,4791801,1,0012,1,1,20240247918011001212,1,2,2,1,2,,2,34,2,2,19,4,1991,1,,,,,,,,,,,,,,,,9313,4100,3,5,3,2,1,4,0,8,8,8,8,8,6,46,,46,1,,1,1,1,1,2,700,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,3031,,,,,,,,,3031,3031,3031,1,1675.2588085727937
2025,05,4791801,1,0012,1,1,20240247918011001213,1,3,3,1,2,,1,17,3,3,27,2,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1376.4344702082337
2025,05,4791801,1,0012,1,1,20240247918011001214,1,4,3,1,2,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,47917,1,0068,1,1,202402479171006811,1,1,1,1,2,,1,67,1,1,28,1,1958,1,,,,,,,,,,,,,,,,9622,9499,3,5,3,2,1,2,0,8,8,8,8,8,8,48,,48,1,,1,1,1,2,4,700,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,5,3,,2,2,2,2,2,2,10,1,1,700,,,,,,,,,700,700,700,1,784.4437533036444
2025,05,47917,1,0066,1,1,202402479171006611,1,1,1,1,2,,1,40,1,1,1,4,1985,1,,,,,,,,,,,,,,,,9112,8121,3,4,1,,1,4,0,8,8,8,8,8,4,44,,44,1,,1,1,1,2,4,1030,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,4,,6,2,2,2,2,2,2,10,7,1,1030,,,,,,,,,1030,1030,1030,1,859.7598200446525
2025,05,47917,1,0060,1,1,202402479171006011,1,1,1,1,2,,1,49,1,2,31,7,1975,1,,,,,,,,,,,,,,,,7211,2599,2,,3,2,1,1,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,,,,,,,,,,,,,,,,,1,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,8,2,,2,2,2,2,2,2,10,7,1,,,1550,,,,,,,1550,1550,1550,1,784.4437533036444
2025,05,47917,1,0060,1,1,202402479171006012,1,2,2,1,2,,2,50,2,2,9,2,1975,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,719.7331027014827
2025,05,47917,1,0060,1,1,202402479171006013,1,3,3,1,2,,1,15,3,3,6,1,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,709.162977151828
2025,05,47917,1,0057,1,1,202402479171005711,1,1,1,1,2,,1,78,1,1,25,12,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,3,1,,2,2,2,2,2,2,1,7,4,,,,,,,,,,,,,1,784.4437533036444
2025,05,47917,1,0057,1,1,202402479171005712,1,2,2,1,2,,2,75,2,2,27,1,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,719.7331027014827
2025,05,4790001,1,0027,1,1,20240547900011002711,1,1,1,1,2,,1,30,1,1,11,7,1994,1,,,,,,,,,,,,,,,,7128,4330,3,5,1,,4,180,0,9,9,9,9,9,9,54,,54,1,,2,,2,2,2,650,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,8,1,,2,2,2,2,2,2,10,7,1,2815,,,,,,,,526,2815,2815,3341,1,815.9569548600143
2025,05,4790001,1,0027,1,1,20240547900011002712,1,2,2,1,2,,2,31,2,2,4,4,1994,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,819.1482883028301
2025,05,4790001,1,0027,1,1,20240547900011002713,1,3,3,1,2,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4790001,1,0027,1,1,20240547900011002714,1,4,3,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4790001,1,0027,1,1,20240547900011002715,1,5,3,1,2,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4790001,1,0027,1,1,20240547900011002716,1,6,7,1,2,,2,21,6,6,7,11,2003,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,1,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,714.778739397401
2025,05,4790001,1,0026,1,1,20240547900011002611,1,1,1,1,2,,1,42,1,1,2,11,1982,1,,,,,,,,,,,,,,,,7322,3100,2,,3,2,1,1,0,0,5,8,8,7,5,33,,33,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,680,,,,,,,680,680,680,1,815.9569548600143
2025,05,4790001,1,0026,1,1,20240547900011002612,1,2,2,1,2,,2,40,2,2,24,3,1985,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,2,2,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,819.1482883028301
2025,05,4790001,1,0026,1,1,20240547900011002613,1,3,3,1,2,,1,18,3,3,30,8,2006,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,13,5,3,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,2,,,,,,,,,,,,,1,673.0326887178967
2025,05,4790001,1,0026,1,1,20240547900011002614,1,4,3,1,2,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4790001,1,0026,1,1,20240547900011002615,1,5,3,1,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4790001,1,0020,1,1,20240547900011002011,1,1,1,1,2,,1,62,1,2,5,6,1962,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,5223,4722,4,,3,2,1,2,1,1,1,1,1,1,1,7,,,1,,2,,,,,,,,,,,,,2,7,1,2,7,,,1,1,1,5,2,,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,1,,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,744.4780754831729
2025,05,4790001,1,0020,1,1,20240547900011002012,1,2,2,1,2,,2,60,2,2,15,1,1965,1,,,,,,,,,,,,,,,,5212,4722,2,,3,2,1,2,10,11,10,10,10,10,10,71,,71,1,,2,,2,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,3,2,,2,2,2,2,2,2,1,7,1,,,770,13,,,,,,783,783,783,1,683.0642897009902
2025,05,4790001,1,0019,1,1,20240847900011001911,1,1,1,1,2,,2,52,1,1,27,8,1972,1,,,,,,,,,,,,,,,,2341,8521,3,2,,,5,9998,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,4,2500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,11,5,,2,2,2,2,2,2,1,1,1,2500,,,,,,,,83,2500,2500,2583,1,683.0642897009902
2025,05,4790001,1,0019,1,1,20240847900011001912,1,2,2,1,2,,1,52,2,2,18,8,1972,1,,,,,,,,,,,,,,,,2311,8530,3,2,,,5,9998,0,6,6,6,6,6,0,30,,30,1,,2,,2,2,4,2800,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,2800,,,,,,,,84,2800,2800,2884,1,744.4780754831729
2025,05,4790001,1,0019,1,1,20240847900011001913,1,3,3,1,2,,2,27,3,3,25,7,1997,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,10,4,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,819.1482883028301
2025,05,4790001,1,0019,1,1,20240847900011001914,1,4,3,1,2,,1,20,4,4,10,2,2005,1,,,,,,,,,,,,,,,,7421,9511,2,,3,2,1,1,4,0,3,0,3,3,4,17,,17,1,,2,,2,2,,,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,2,,2,2,2,2,2,2,10,7,1,,,460,,,,,,,460,460,460,1,673.0326887178967
2025,05,4790001,1,0019,1,1,20240847900011001915,1,5,5,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4789801,1,0053,1,1,20250547898011005311,1,1,1,1,2,,2,44,1,1,7,8,1980,1,,,,,,,,,,,,,,,,5212,4711,2,,3,2,1,1,0,14,14,14,14,14,8,78,,78,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,1,1,4,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,1,,,886,,,,,,,886,886,886,1,738.6161455579429
2025,05,4789801,1,0053,1,1,20250547898011005312,1,2,2,1,2,,1,44,2,1,9,11,1980,1,,,,,,,,,,,,,,,,2113,2100,3,5,1,,1,8,0,10,10,10,10,10,6,56,,56,2,48,1,1,1,2,3,1000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,1,1,2000,,,,,,,,,2000,2000,2000,1,735.7385586296879
2025,05,4789801,1,0053,1,1,20250547898011005313,1,3,3,1,2,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4789801,1,0053,1,1,20250547898011005314,1,4,3,1,2,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,4789801,1,0052,1,1,20250547898011005211,1,1,1,1,2,,1,80,1,1,10,4,1945,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,7,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,1,2,2,10,7,3,,,,,,,,,,,,,1,671.2869140031586
2025,05,4789801,1,0052,1,1,20250547898011005212,1,2,2,1,2,,2,75,2,2,18,1,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,3,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,4,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,615.9108430447005
2025,05,4789801,1,0052,1,1,20250547898011005213,1,3,3,1,2,,2,51,3,1,25,6,1973,1,,,,,,,,,,,,,,,,9111,9700,6,,,,1,1,0,6,6,6,6,6,0,30,,30,1,,1,1,1,2,3,800,17,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,8,2,,2,2,2,2,2,2,10,1,1,1600,510,,,,,,,,2110,2110,2110,1,615.9108430447005
2025,05,4789801,1,0052,1,1,20250547898011005214,1,4,5,1,2,,1,18,4,3,26,8,2006,1,,,,,,,,,,,,,,,,5329,8620,3,5,2,2,1,4,0,9,7,7,7,7,6,43,,43,1,,2,,2,1,2,240,,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,1,2,10,7,1,1039,,,,,,,,,1039,1039,1039,1,606.8654692610852
2025,05,4789801,1,0052,1,1,20250547898011005215,1,5,5,1,2,,2,15,5,5,19,3,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,3,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,644.5073803600471
2025,05,4789801,1,0049,1,1,20250547898011004911,1,1,1,1,2,,1,58,1,1,25,8,1966,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,11,10,0,0,0,10,10,41,12,53,1,,1,2,2,2,,,,,,400,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,3,,2,2,2,2,2,2,10,1,1,,,716,,400,,,,,1116,716,1116,1,671.2869140031586
2025,05,4789801,1,0045,1,1,20250547898011004511,1,1,1,1,2,,1,46,1,1,2,2,1979,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,13,11,11,11,10,13,13,82,,82,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,,,1900,,,,,,,1900,1900,1900,1,671.2869140031586
2025,05,4789801,1,0045,1,1,20250547898011004512,1,2,2,1,2,,2,38,2,2,9,5,1987,1,,,,,,,,,,,,,,,,5131,5610,3,5,1,,1,10,8,8,8,8,8,8,8,56,,56,1,,1,1,1,2,1,50,12,,,,,,,,,,,,,,2,6,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,6,5,,2,2,2,2,2,2,10,7,1,1500,360,,,,,,,,1860,1860,1860,1,738.6161455579429
2025,05,4789801,1,0045,1,1,20250547898011004513,1,3,3,1,2,,1,19,3,3,26,9,2005,1,,,,,,,,,,,,,,,,8322,4922,2,,3,2,1,1,8,9,7,10,10,9,9,62,,62,1,,2,,2,2,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,10,1,,2,2,2,2,2,2,10,7,1,,,1400,,,,,,,1400,1400,1400,1,606.8654692610852
2025,05,4789801,1,0045,1,1,20250547898011004514,1,4,3,1,2,,2,14,4,4,31,8,2010,1,,,,,,,,,,,,,,,,5131,5610,3,5,2,2,1,12,16,0,0,0,0,0,0,16,,16,1,,2,,2,2,2,50,25,,,,,,,,,,,,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,1,217,108,,,,,,,,325,325,325,1,644.5073803600471
2025,05,4789801,1,0045,1,1,20250547898011004515,1,5,3,1,2,,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,47738,1,0021,1,1,202505477381002111,1,1,1,1,1,,2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2025,05,47738,1,0021,1,1,202505477381002112,1,3,3,1,2,,1,37,3,3,14,6,1987,1,,,,,,,,,,,,,,,,3521,7420,2,,3,2,1,1,0,6,6,6,0,6,0,24,,24,1,,1,1,1,2,,,,,,,,,,,,,,,,,1,2,2,,1,2,2,,2,,2,,2,,2,,2,,1,5,2,,2,,2,,9,3,,2,2,2,2,2,2,10,7,1,,,1798,,,,,,,1798,1798,1798,1,1110.164927352802
2025,05,47738,1,0021,1,1,202505477381002113,1,2,3,1,1,,1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2025,05,47738,1,0020,1,1,202505477381002011,1,1,1,1,2,,1,90,1,1,10,2,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,6,5,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,1012.9130509419136
2025,05,47738,1,0020,1,1,202505477381002012,1,2,2,1,2,,2,76,2,2,10,6,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,4,5,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,929.3554188569782
2025,05,47738,1,0020,1,1,202505477381002013,1,3,3,1,2,,2,46,3,3,2,1,1979,1,,,,,,,,,,,,,,,,2256,8510,3,2,,,5,9998,5,5,5,5,5,5,0,30,,30,1,,2,,2,1,4,2000,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,7,1,2000,,,,,,,,75,2000,2000,2075,1,929.3554188569782
2025,05,47738,1,0019,1,1,202505477381001911,1,1,1,1,2,,1,48,1,1,4,1,1977,1,,,,,,,,,,,,,,,,4110,6419,3,5,1,,4,200,0,8,8,8,8,8,8,48,,48,1,,2,,2,2,4,4500,,,,,,,,,,,,,,,1,1,1,1,2,,2,,2,,2,,2,,2,,2,,1,1,2,,2,,2,,11,5,,2,2,2,2,2,2,10,6,1,4500,,,,,,,,1125,4500,4500,5625,1,1012.9130509419136
2025,05,47738,1,0018,1,1,202505477381001811,1,1,1,1,2,,2,85,1,1,10,5,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,3,,,1,1,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,3,2,,2,,11,5,,2,2,2,2,2,2,10,9,4,,,,,,,,,,,,,1,929.3554188569782
2025,05,47628,1,0146,1,1,202402476281014611,1,1,1,1,2,,1,37,1,2,16,3,1988,1,,,,,,,,,,,,,,,,8332,4923,3,5,1,,1,10,9,10,10,6,10,10,10,65,,70,2,70,1,1,1,2,2,900,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,1,5,2,,2,,6,5,,2,2,2,2,2,2,1,5,1,3897,,,,,,,,,3897,3897,3897,1,798.0892842017447
2025,05,47628,1,0146,1,1,202402476281014612,1,2,2,1,2,,2,33,2,2,20,12,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,1,1,6,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,6,5,,2,2,2,2,2,2,1,1,4,,,,,,,,,,,,,1,801.2107344300388
2025,05,47628,1,0146,1,1,202402476281014613,1,3,3,1,2,,1,14,3,3,8,8,2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,5,,,2,5,2,,2,,2,,2,,1,5,2,,2,,2,,2,,2,,2,,2,,5,2,,2,2,2,2,2,2,10,7,4,,,,,,,,,,,,,1,658.294746535243
2025,05,47628,1,0146,1,1,202402476281014614,1,4,3,1,2,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2025,05,47628,1,0078,1,1,202402476281007811,1,1,1,1,2,,1,32,1,1,11,2,1993,1,,,,,,,,,,,,,,,,7412,4321,2,,3,2,1,1,0,0,8,8,0,0,0,16,,25,2,25,1,1,1,1,,,,,,,,,,,,,,,,,1,5,2,,2,,2,,2,,1,5,2,,2,,2,,1,5,2,,2,,2,,5,4,,2,2,2,2,2,2,10,7,1,,,916,,,,,,,916,916,916,1,798.0892842017447
